transcript	module	goodGenes
Solyc12g035500.1.1	darkred	TRUE
Solyc12g036650.1.1	darkred	TRUE
Solyc12g055840.1.1	darkred	TRUE
Solyc12g056900.1.1	darkred	TRUE
Solyc12g077670.1.1	darkred	TRUE
Solyc12g088430.1.1	darkred	TRUE
Solyc12g089010.1.1	darkred	TRUE
Solyc12g096120.1.1	darkred	TRUE
Solyc12g098380.1.1	darkred	TRUE
Solyc12g100000.1.1	darkred	TRUE
